,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
41,41,,,국정원에 들어가게 되면 받는 것들 ,그랜드한 한국 일주 시리즈!! (예고편) ,,,
42,42,,,Keep Calm and Study 📚 Ambient Lofi Jazz Music for Studying 🪴  [24/7 Live] ,코로나 경제 위기 극뽁! 2021에는 기필코 부자 되자! - 머니아카데미 시리즈 몰아보기 ,,,
43,43,,,국정원에 들어가려면 필요한 의외의 조건들 ,"물리 엔진과 게임 스토리텔링, 임어당의 한자 타자기, 거함·거포 시대의 종말 ",,,
44,44,,,국정원에 합격해도 비밀인 이유(몰래 티내는 방법) ,LIVE  ,,,
45,45,,,4-Hour Study With Me [Muted Classical Piano Music + Fireplace] Pomodoro 50/10 ,형제는 용감했다.... ,,,
46,46,,,That Second Kiss ,피부가 좋아보이는 투명 메이크업💧_ Double Soup ,,,
47,47,,,3-Hour Study With Me [Quiet Study Music 🎵/ Campfire 🔥 / Ocean 🌊] 50/10 Pomodoro ,신유일주 ,,,
48,48,,,4-Hour Study With Me [Muted Classical Piano Music + Fireplace] Pomodoro 50/10 ,영국에 경매로나온 19세기 지도에 난리난 이유 - 한국 최대영토 확인된듯 ,,,
49,49,,,Keep Calm and Study 📚 Ambient Lofi Jazz Music for Studying 🪴  [24/7 Live] ,"미 하원, 5개국 첩보동맹 확대 추진…한국 포함 (2021.09.03/뉴스투데이/MBC) ",,,
50,50,,,"Chill Music Radio — Productive Vibe — Work, Study Mix ","빠던의 나라 한국, 미국 메이저리그 올스타를 실력으로 이겨본 적 있다? / [추억스환  ",,,
51,51,,,3 AM Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,[쏭배송] 싱어게인 '재야의 고수' 조 노래 모음이 도착했습니다🎁  ,,,
52,52,,,Motivation Playlist — Energetic Chillstep Music — Make Money Mix ,[순풍 산부인과] 📚미국에 가고 싶나? 그렇다면 이 시험을 통과해라!📚 용녀 미선 열공모드! ✏│ 197화 ,,,
53,53,,,lofi beats to make money to / shopi-fi ,오타니 vs 다르빗슈 맞대결 드디어 성사 가능성은  ,,,
54,54,,,Evening Study With Me [3 HOURS] Quiet Focus Music ,[글로벌 나우] 미국 “아프간 경제 원조 재검토” ,,,
55,55,,,Programming / Coding / Hacking music vol.19 (EASY THOUGHTS) ,2차세계대전 시리즈 몰아보기 ,,,
56,56,,,Programming * Hacker * Coding - Music Mix 2021 ,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기/ 19시 스포츠타임 뉴스 LIVE ",,,
57,57,,,Lofi Coding Beats | Free Copyrights | Millennials Melody Originals ,[Full] 한국기행 - Korea travel_ 그 겨울의 산사 3부- 두 스님이 사는 법 ,,,
58,58,,,Programming / Coding / Hacking music vol.16 (CONNECTION LOST) ,인플레시대에 돈 버는 방법과 가난해지는 이유 (아는선배) ,,,
59,59,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",아시아인 최초로 월드 시리즈 우승을 차지한 이라부 히데키 이야기 /외인구단/일본프로야구레전드/ ,,,
60,60,,,"Coffee Rain: Relaxing Jazz Music with Coffee Shop Ambience - Chill Music for Study, Work ","""50년만에 나라가 이렇게 바뀌다니 대단하다!"" 한국 소개 동영상에 쏟아진 세계인의 찬사(해외반응) ",,,
61,61,,,Galaxy Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,"""한국인들의 정체는 뭐야..?"" 한국 커피숍에 난리 난 외국인반응 // ""한국과 중국을 비교하지 말란 말이야!!!"" [해외반응] ",,,
62,62,,,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill ",블랙핑크 마지막처럼 해외반응! 미국 가족이 블랙핑크를 처음 보면? ,,,
63,63,,,Chillstep Music for Programming / Cyber / Coding ,한국 수산시장에서 2년 인생 첫 대게를 맛본 영국 애기의 반응은?!? ,,,
64,64,,,Happy Jazz on Coffee Shop Ambience - Relaxing Jazz Music and Bossa Nova for Good Mood ,"미국에선 봉합수술 1억원, 한국에선 얼마일까? ",,,
65,65,,,❄️ Winter Snow Coding in Chicago | 🎧 Lofi Hip-Hop Motivation ,"해외반응 | ""한국의 치안이 좋다고? 웃기는 소리 하지 마!"" 외국인이 실시한 치안 테스트에서 한국인들이 94개의 가방을 훔쳐 간 이유는!? ",,,
66,66,,,Chill Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,신상 한국 라면을 처음 먹어본 영국인들의 반응?!? (영국애기   할머니의 첫 라면??!) ,,,
67,67,,,A.I. Coding in Chicago | 🎧 LoFi Hip-Hop [Code - Relax - Study] ,해외직구 전자제품 중고로 못 파는 거 알고 계셨나요? 11년만에 불법이 합법으로 되었습니다. ,,,
68,68,,,🌙 Midnight Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,PER 말고 저평가 주식을 찾는 방법 (EV/EBITDA활용법) ,,,
69,69,,,🍁Autumn Morning Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,한국에 처음 온 영국신부님 크리스!! ,,,
70,70,,,📚2-HOUR LATE NIGHT STUDY / gentle rain🌧 + lofi music  / 50 minute Pomodoro / with timer+bell ,EP13-8 맥주 한사발만? 놉 🤫 미국 맥주를 사이에 둔 김갑수와 김태리 ㅋㅋㅋ |  ,,,
71,71,,,2 AM Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,[완벽한홈트1] 준비운동   전신운동   스트레칭 한번에 끝내드립니다! [트리거 홈트] ,,,
72,72,,,4-HOUR STUDY WITH ME🗼 / calm lofi music / 🏕️Cracking Fire / Tokyo at LATE NIGHT / with timer+bell ,😳 [[ 액괴가 나오는 영상의 조회수 TOP 14는 뭘까? ]] 시리즈 🙌 / 액괴시리즈 / 시리즈액괴 / 대규모시리즈 / 액시 / 시액 / 히트쳐라 ㅜ_ㅜ / 설리시리즈 / 설리 ,,,
73,73,,,Coding in Chicago v2.0 | 🎧 24/7 LoFi Hip-Hop Radio ,나이 24살 l 3룸 매매해서 자취해요 l 몇평이에요? 모르겠는데요;; l 인천 부평 편 l ,,,
